Latitude	Longitude	Vn	Ve	Sn	Se	Corr	Sta	Vu	Su
 37.048785	-121.762949	 27.91	-21.63	  0.17	  0.21	  0.0370	P215	 -0.31	  0.24
 37.002426	-121.726207	 28.65	-22.57	  0.16	  0.17	  0.0065	P216	  0.81	  0.30
 37.104497	-121.650632	 23.45	-19.57	  0.15	  0.15	 -0.0489	P217	  3.22	  0.50
 37.203515	-121.713960	 24.21	-20.13	  0.27	  0.18	  0.0299	P218	 -0.86	  0.20
 37.342490	-122.284821	 32.33	-24.23	  0.31	  0.39	 -0.0007	P219	  2.89	  0.75
 37.329888	-122.214284	 31.37	-23.46	  0.10	  0.09	 -0.0060	P220	  0.95	  0.26
 37.336952	-122.099049	 28.59	-20.77	  0.07	  0.23	  0.0022	P221	  0.84	  0.38
 37.539240	-122.083263	 24.63	-19.74	  0.07	  0.35	 -0.0156	P222	  0.06	  0.28
 37.722054	-122.099779	 20.38	-14.71	  0.04	  0.14	 -0.0112	P223	  0.18	  0.43
 37.863897	-122.219060	 19.50	-15.07	  0.08	  0.06	 -0.0385	P224	  0.20	  0.14
 37.713866	-122.058328	 18.38	-15.73	  0.09	  0.07	 -0.0259	P225	  0.30	  0.17
 37.336776	-121.825585	 25.43	-18.40	  0.46	  1.04	  0.0026	P226	 -3.28	  0.53
 37.532975	-121.789597	 12.92	-11.97	  0.18	  0.12	 -0.0096	P227	  0.91	  0.31
 37.601836	-121.686936	 11.55	-10.58	  0.54	  0.15	  0.0233	P228	  1.37	  0.50
 37.818965	-121.786399	  9.53	-10.64	  0.15	  0.07	  0.0109	P230	  1.67	  0.24
 36.621677	-121.905410	 36.19	-27.94	  0.25	  0.20	 -0.0076	P231	  0.54	  0.57
 36.724020	-121.579041	 35.14	-27.83	  0.18	  0.15	 -0.0077	P232	  1.09	  0.34
 36.800426	-121.420284	 25.72	-17.21	  0.16	  0.16	 -0.0077	P233	  0.66	  0.32
 36.858526	-121.591225	 32.74	-26.70	  0.15	  0.15	 -0.0110	P234	  1.39	  0.20
 36.814272	-121.541541	 35.13	-26.82	  0.19	  0.17	 -0.0047	P235	  0.26	  0.55
 36.903545	-121.554460	 26.09	-21.06	  0.14	  0.30	 -0.0122	P236	  1.45	  0.26
 36.637024	-121.386829	 34.98	-27.71	  0.19	  0.20	 -0.0416	P237	  2.13	  0.44
 36.849080	-121.452768	 25.11	-16.67	  0.57	  0.87	 -0.0116	P238	  1.00	  0.44
 36.962462	-121.547787	 23.68	-19.23	  0.35	  0.20	 -0.0015	P239	  3.50	  0.41
 37.007807	-121.542033	 23.64	-19.11	  0.55	  0.17	 -0.0101	P240	  0.39	  0.46
 37.213011	-121.574259	 12.39	-11.99	  0.17	  0.22	  0.0013	P241	  0.81	  0.40
 36.953932	-121.463183	 23.59	-18.75	  0.76	  0.17	 -0.0009	P242	  0.94	  1.88
 36.918189	-121.335152	 11.09	-11.83	  0.19	  0.16	 -0.0045	P243	  1.11	  0.32
 37.010824	-121.354517	 10.45	-12.39	  0.15	  0.38	 -0.0258	P244	  1.24	  0.22
 37.713117	-119.706121	  9.26	 -9.94	  0.23	  0.19	  0.0035	P245	  1.04	  0.47
 37.975609	-121.868697	 10.16	-10.54	  0.20	  0.08	  0.0096	P248	  1.02	  0.35
 36.950036	-121.268438	 10.48	-11.28	  0.17	  0.20	  0.0139	P250	  0.68	  0.38
 36.811450	-121.347950	 14.17	-11.84	  0.15	  0.14	 -0.0061	P251	  2.43	  0.39
 37.169556	-121.057729	  9.03	-10.54	  0.57	  0.14	  0.0164	P252	  1.25	  0.31
 37.478450	-121.653009	 11.00	-11.09	  0.11	  0.07	 -0.0286	P253	  1.63	  0.54
 37.489633	-121.469195	  9.87	-10.46	  0.16	  0.12	 -0.0111	P254	  1.01	  0.33
 37.581885	-121.324853	  9.39	-10.29	  0.05	  0.12	 -0.0103	P255	  0.89	  0.18
 37.931965	-121.604839	  9.12	-10.91	  0.12	  0.07	 -0.0062	P256	 -1.01	  0.50
 37.755291	-121.464035	  9.01	-10.75	  0.03	  0.11	 -0.0146	P257	  1.88	  0.49
 37.385389	-121.283272	  9.04	 -9.75	  0.70	  0.18	 -0.0102	P258	  0.98	  0.51
 37.433020	-121.100580	  8.94	-10.25	  0.17	  0.19	 -0.0059	P259	  0.58	  0.56
 37.711221	-121.083952	  8.57	-10.68	  0.23	  0.11	 -0.0096	P260	 -0.75	  0.60
 38.152960	-122.217539	 15.23	-11.26	  0.60	  0.81	 -0.0210	P261	 -1.06	  0.26
 38.025149	-122.096144	 15.32	-12.63	  0.11	  0.50	 -0.0467	P262	  0.11	  0.22
 38.577695	-122.429176	 16.07	-11.20	  0.18	  0.20	  0.0121	P263	  0.60	  0.51
 38.444215	-122.195329	 11.42	-10.64	  0.10	  0.10	  0.0049	P264	  1.10	  0.08
 38.530186	-121.954194	  8.64	 -9.83	  0.05	  0.08	 -0.0152	P265	 -1.93	  0.44
 38.183968	-121.843526	  9.17	-10.19	  0.09	  0.09	 -0.0049	P266	 -0.53	  0.16
 38.380336	-121.823234	  8.96	 -8.99	  0.14	  0.16	 -0.0087	P267	 -2.59	  0.51
 38.473526	-121.646411	  8.19	-11.32	  0.05	  0.31	 -0.0081	P268	 -1.95	  0.47
 38.999526	-122.354553	  8.31	 -7.18	  0.21	  0.13	  0.0791	P269	  1.21	  0.86
 39.243770	-122.055213	  7.26	 -9.12	  0.09	  0.10	 -0.0136	P270	 -0.39	  0.45
