PBO Network Velocity Field
Station,Ref_Epoch,Ref_JDay,Latitude (deg N),Longitude (deg E),Elevation (m),North Velocity (mm/yr),East Velocity (mm/yr),Vertical Velocity (mm/yr),North Std. Deviation (mm/yr),East Std. Deviation (mm/yr),Vertical Std. Deviation (mm/yr),North/East Correlation,North/Vertical Correlation,East/Vertical Correlation,First_Epoch,Last_Epoch,
AB46,20091016120000,55120.5000,68.120672,214.432099,647.9082,-2.8,1.9,-4.2,1.3,0.7,1.8,0.001,0.014,0.009,20070404000000,20090904000000
AB48,20091016120000,55120.5000,56.245063,225.353004,5.2577,7.8,-2.3,1.0,0.2,0.3,0.8,0.002,0.002,0.016,20051005000000,20091101000000
AB49,20091016120000,55120.5000,55.580102,226.931513,17.5542,3.8,-2.6,4.2,0.2,0.4,1.0,-0.001,0.008,0.013,20060502000000,20091101000000
AB50,20091016120000,55120.5000,58.416776,225.454700,51.5532,2.5,-0.9,15.1,0.3,0.3,0.9,0.001,0.005,0.011,20050818000000,20091101000000
AB51,20091016120000,55120.5000,56.797624,227.086440,75.8423,3.0,-4.5,9.1,0.2,0.3,0.8,-0.001,0.010,0.016,20051002000000,20091101000000
AC02,20091016120000,55120.5000,56.950587,205.816955,126.8407,17.3,-14.2,0.1,0.4,0.5,0.8,0.001,0.025,0.036,20051009000000,20091101000000
AC03,20091016120000,55120.5000,59.770638,208.135467,19.6168,-7.0,-2.3,15.9,0.5,0.7,1.4,0.002,0.013,0.016,20071129000000,20091101000000
AC06,20091016120000,55120.5000,59.763638,209.109442,631.4199,2.4,-4.7,7.7,0.5,0.5,1.1,0.001,0.013,0.023,20050911000000,20091009000000
AC07,20091016120000,55120.5000,65.961294,198.713384,176.3135,-3.2,1.2,0.1,0.5,0.9,1.3,0.002,0.018,0.019,20070725000000,20091101000000
AC08,20091016120000,55120.5000,58.928776,206.355300,644.1367,-3.5,-1.6,3.2,1.2,1.2,2.1,-0.005,0.003,0.011,20071001000000,20091101000000
AC08,20091016120000,55120.5000,58.928776,206.355300,644.1641,-3.5,-1.6,3.2,1.2,1.2,2.1,-0.005,0.003,0.011,20080920000000,20090913000000
