"GEO.id","GEO.id2","GEO.display-label","Total:","Total:","Total:"
"Id","Id2","Geography",,"Occupied","Vacant"
60750102001016,60750102001016,"Block 1016, Block Group 1, Census Tract 102, San Francisco County, California",70,61,9
60750102001017,60750102001017,"Block 1017, Block Group 1, Census Tract 102, San Francisco County, California",74,69,5
60750102001018,60750102001018,"Block 1018, Block Group 1, Census Tract 102, San Francisco County, California",73,57,16
60750102001019,60750102001019,"Block 1019, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0
60750102001020,60750102001020,"Block 1020, Block Group 1, Census Tract 102, San Francisco County, California",141,119,22
60750102002000,60750102002000,"Block 2000, Block Group 2, Census Tract 102, San Francisco County, California",126,104,22
60750102002001,60750102002001,"Block 2001, Block Group 2, Census Tract 102, San Francisco County, California",134,109,25
60750102002002,60750102002002,"Block 2002, Block Group 2, Census Tract 102, San Francisco County, California",172,147,25
60750102002003,60750102002003,"Block 2003, Block Group 2, Census Tract 102, San Francisco County, California",134,119,15
60750102002004,60750102002004,"Block 2004, Block Group 2, Census Tract 102, San Francisco County, California",148,133,15
60750102002005,60750102002005,"Block 2005, Block Group 2, Census Tract 102, San Francisco County, California",213,203,10
60750102002006,60750102002006,"Block 2006, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0
60750102002007,60750102002007,"Block 2007, Block Group 2, Census Tract 102, San Francisco County, California",138,122,16
60750102002008,60750102002008,"Block 2008, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0
60750102002009,60750102002009,"Block 2009, Block Group 2, Census Tract 102, San Francisco County, California",307,294,13
60750102002010,60750102002010,"Block 2010, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0
60750102003000,60750102003000,"Block 3000, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0
60750102003001,60750102003001,"Block 3001, Block Group 3, Census Tract 102, San Francisco County, California",135,77,58
60750102003002,60750102003002,"Block 3002, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0
60750102003003,60750102003003,"Block 3003, Block Group 3, Census Tract 102, San Francisco County, California",195,180,15
60750102003004,60750102003004,"Block 3004, Block Group 3, Census Tract 102, San Francisco County, California",94,85,9
60750102003005,60750102003005,"Block 3005, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0
60750102003006,60750102003006,"Block 3006, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0
60750102003007,60750102003007,"Block 3007, Block Group 3, Census Tract 102, San Francisco County, California",81,55,26
60750102003008,60750102003008,"Block 3008, Block Group 3, Census Tract 102, San Francisco County, California",152,135,17
60750102003009,60750102003009,"Block 3009, Block Group 3, Census Tract 102, San Francisco County, California",12,11,1
60750102003010,60750102003010,"Block 3010, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0
60750103001000,60750103001000,"Block 1000, Block Group 1, Census Tract 103, San Francisco County, California",20,17,3
60750103001001,60750103001001,"Block 1001, Block Group 1, Census Tract 103, San Francisco County, California",73,52,21
60750103001002,60750103001002,"Block 1002, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0
60750103001003,60750103001003,"Block 1003, Block Group 1, Census Tract 103, San Francisco County, California",33,32,1
60750103001004,60750103001004,"Block 1004, Block Group 1, Census Tract 103, San Francisco County, California",27,26,1
60750103001005,60750103001005,"Block 1005, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0
60750103001006,60750103001006,"Block 1006, Block Group 1, Census Tract 103, San Francisco County, California",49,42,7
60750103001007,60750103001007,"Block 1007, Block Group 1, Census Tract 103, San Francisco County, California",129,112,17
60750103001008,60750103001008,"Block 1008, Block Group 1, Census Tract 103, San Francisco County, California",91,76,15
60750103001009,60750103001009,"Block 1009, Block Group 1, Census Tract 103, San Francisco County, California",31,28,3
60750103001010,60750103001010,"Block 1010, Block Group 1, Census Tract 103, San Francisco County, California",59,54,5
60750103001011,60750103001011,"Block 1011, Block Group 1, Census Tract 103, San Francisco County, California",148,125,23
60750103001012,60750103001012,"Block 1012, Block Group 1, Census Tract 103, San Francisco County, California",136,127,9
60750103001013,60750103001013,"Block 1013, Block Group 1, Census Tract 103, San Francisco County, California",137,126,11
60750103002000,60750103002000,"Block 2000, Block Group 2, Census Tract 103, San Francisco County, California",99,86,13
60750103002001,60750103002001,"Block 2001, Block Group 2, Census Tract 103, San Francisco County, California",75,68,7
60750103002002,60750103002002,"Block 2002, Block Group 2, Census Tract 103, San Francisco County, California",58,54,4
60750103002003,60750103002003,"Block 2003, Block Group 2, Census Tract 103, San Francisco County, California",134,112,22
60750103002004,60750103002004,"Block 2004, Block Group 2, Census Tract 103, San Francisco County, California",94,81,13
60750103002005,60750103002005,"Block 2005, Block Group 2, Census Tract 103, San Francisco County, California",161,144,17
60750103003000,60750103003000,"Block 3000, Block Group 3, Census Tract 103, San Francisco County, California",161,143,18
