,,,,,,,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD020102,SUBHD020201,SUBHD020202,SUBHD020203
,,,,,,,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population
,,,,,,,,In households,In households,In households,In households,In group quarters,In group quarters,In group quarters
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,,Family households,Family households,Family households,Nonfamily households [3],Total,Institutionalized population,Noninstitutionalized population
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,In families [1],Nonrelatives [2],,,,
0400000US06,06,California,8710000US0692054,0692054,"California - ZCTA5 92054, California","ZCTA5 92054, California",40375,78.6,74.5,4.1,20.5,0.9,0.0,0.9
0400000US06,06,California,8710000US0692055,0692055,"California - ZCTA5 92055, California","ZCTA5 92055, California",15655,9.2,9.2,0.1,0.0,90.8,0.1,90.7
0400000US06,06,California,8710000US0692056,0692056,"California - ZCTA5 92056, California","ZCTA5 92056, California",51835,84.4,81.1,3.3,15.3,0.3,0.2,0.1
0400000US06,06,California,8710000US0692057,0692057,"California - ZCTA5 92057, California","ZCTA5 92057, California",54096,88.5,84.4,4.1,11.4,0.2,0.0,0.1
0400000US06,06,California,8710000US0692058,0692058,"California - ZCTA5 92058, California","ZCTA5 92058, California",42436,85.7,83.0,2.8,8.5,5.8,0.0,5.8
0400000US06,06,California,8710000US0692059,0692059,"California - ZCTA5 92059, California","ZCTA5 92059, California",1618,91.5,88.3,3.2,8.5,0.0,0.0,0.0
0400000US06,06,California,8710000US0692060,0692060,"California - ZCTA5 92060, California","ZCTA5 92060, California",218,71.6,70.2,1.4,28.4,0.0,0.0,0.0
0400000US06,06,California,8710000US0692061,0692061,"California - ZCTA5 92061, California","ZCTA5 92061, California",2499,88.4,84.2,4.2,11.6,0.0,0.0,0.0
0400000US06,06,California,8710000US0692064,0692064,"California - ZCTA5 92064, California","ZCTA5 92064, California",47904,90.0,87.5,2.6,8.8,1.1,0.6,0.6
0400000US06,06,California,8710000US0692065,0692065,"California - ZCTA5 92065, California","ZCTA5 92065, California",35414,89.6,86.2,3.4,9.8,0.6,0.1,0.5
0400000US06,06,California,8710000US0692066,0692066,"California - ZCTA5 92066, California","ZCTA5 92066, California",378,78.6,75.9,2.6,21.4,0.0,0.0,0.0
0400000US06,06,California,8710000US0692067,0692067,"California - ZCTA5 92067, California","ZCTA5 92067, California",9535,92.1,89.8,2.3,7.9,0.0,0.0,0.0
0400000US06,06,California,8710000US0692069,0692069,"California - ZCTA5 92069, California","ZCTA5 92069, California",46369,88.7,84.3,4.4,11.0,0.3,0.0,0.3
0400000US06,06,California,8710000US0692070,0692070,"California - ZCTA5 92070, California","ZCTA5 92070, California",1245,82.0,78.5,3.5,18.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692071,0692071,"California - ZCTA5 92071, California","ZCTA5 92071, California",53422,85.3,82.6,2.7,12.8,1.8,1.7,0.1
0400000US06,06,California,8710000US0692075,0692075,"California - ZCTA5 92075, California","ZCTA5 92075, California",12056,74.8,72.4,2.3,25.2,0.0,0.0,0.0
0400000US06,06,California,8710000US0692078,0692078,"California - ZCTA5 92078, California","ZCTA5 92078, California",42906,81.6,79.0,2.5,16.7,1.8,0.3,1.5
0400000US06,06,California,8710000US0692081,0692081,"California - ZCTA5 92081, California","ZCTA5 92081, California",27404,79.6,76.9,2.6,16.7,3.7,2.7,1.1
0400000US06,06,California,8710000US0692082,0692082,"California - ZCTA5 92082, California","ZCTA5 92082, California",19037,90.1,86.2,3.9,9.6,0.3,0.0,0.3
0400000US06,06,California,8710000US0692083,0692083,"California - ZCTA5 92083, California","ZCTA5 92083, California",36975,87.3,80.5,6.8,11.1,1.6,0.8,0.7
0400000US06,06,California,8710000US0692084,0692084,"California - ZCTA5 92084, California","ZCTA5 92084, California",47654,87.2,81.8,5.5,11.1,1.7,0.8,0.9
0400000US06,06,California,8710000US0692086,0692086,"California - ZCTA5 92086, California","ZCTA5 92086, California",1573,69.7,67.5,2.2,20.6,9.7,6.3,3.4
0400000US06,06,California,8710000US0692091,0692091,"California - ZCTA5 92091, California","ZCTA5 92091, California",1048,74.0,73.1,0.9,26.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692101,0692101,"California - ZCTA5 92101, California","ZCTA5 92101, California",37095,29.3,28.6,0.7,52.5,18.2,6.8,11.4
0400000US06,06,California,8710000US0692102,0692102,"California - ZCTA5 92102, California","ZCTA5 92102, California",43267,80.2,75.5,4.7,18.3,1.5,0.6,0.9
0400000US06,06,California,8710000US0692103,0692103,"California - ZCTA5 92103, California","ZCTA5 92103, California",31066,43.3,42.1,1.2,54.1,2.6,1.9,0.7
0400000US06,06,California,8710000US0692104,0692104,"California - ZCTA5 92104, California","ZCTA5 92104, California",44414,59.3,56.4,2.8,40.3,0.5,0.0,0.5
0400000US06,06,California,8710000US0692105,0692105,"California - ZCTA5 92105, California","ZCTA5 92105, California",69813,87.7,83.2,4.5,11.5,0.8,0.3,0.5
0400000US06,06,California,8710000US0692106,0692106,"California - ZCTA5 92106, California","ZCTA5 92106, California",19330,71.5,69.9,1.5,20.6,7.9,0.0,7.9
0400000US06,06,California,8710000US0692107,0692107,"California - ZCTA5 92107, California","ZCTA5 92107, California",28651,54.7,52.9,1.8,41.4,3.8,0.0,3.8
0400000US06,06,California,8710000US0692108,0692108,"California - ZCTA5 92108, California","ZCTA5 92108, California",18858,45.8,44.4,1.4,52.9,1.3,0.0,1.3
0400000US06,06,California,8710000US0692109,0692109,"California - ZCTA5 92109, California","ZCTA5 92109, California",45787,40.9,39.4,1.5,57.7,1.4,0.0,1.3
0400000US06,06,California,8710000US0692110,0692110,"California - ZCTA5 92110, California","ZCTA5 92110, California",25341,56.4,54.6,1.8,32.4,11.2,0.7,10.5
0400000US06,06,California,8710000US0692111,0692111,"California - ZCTA5 92111, California","ZCTA5 92111, California",45096,78.9,75.1,3.9,20.0,1.1,0.5,0.7
0400000US06,06,California,8710000US0692113,0692113,"California - ZCTA5 92113, California","ZCTA5 92113, California",56066,82.2,77.5,4.6,5.6,12.2,0.3,11.9
0400000US06,06,California,8710000US0692114,0692114,"California - ZCTA5 92114, California","ZCTA5 92114, California",65433,92.6,88.1,4.5,6.6,0.8,0.1,0.8
0400000US06,06,California,8710000US0692115,0692115,"California - ZCTA5 92115, California","ZCTA5 92115, California",58560,64.5,61.3,3.2,30.1,5.4,0.0,5.4
0400000US06,06,California,8710000US0692116,0692116,"California - ZCTA5 92116, California","ZCTA5 92116, California",31680,56.3,53.8,2.5,43.6,0.1,0.0,0.1
0400000US06,06,California,8710000US0692117,0692117,"California - ZCTA5 92117, California","ZCTA5 92117, California",51332,75.1,71.8,3.3,24.6,0.4,0.0,0.4
0400000US06,06,California,8710000US0692118,0692118,"California - ZCTA5 92118, California","ZCTA5 92118, California",23575,59.5,58.6,1.0,13.0,27.5,0.5,27.0
0400000US06,06,California,8710000US0692119,0692119,"California - ZCTA5 92119, California","ZCTA5 92119, California",23057,79.8,77.6,2.1,19.9,0.3,0.0,0.3
0400000US06,06,California,8710000US0692120,0692120,"California - ZCTA5 92120, California","ZCTA5 92120, California",26317,77.4,75.5,1.8,22.5,0.2,0.0,0.2
0400000US06,06,California,8710000US0692121,0692121,"California - ZCTA5 92121, California","ZCTA5 92121, California",4179,61.0,59.5,1.4,39.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692122,0692122,"California - ZCTA5 92122, California","ZCTA5 92122, California",43728,55.7,54.4,1.4,43.5,0.8,0.7,0.1
0400000US06,06,California,8710000US0692123,0692123,"California - ZCTA5 92123, California","ZCTA5 92123, California",26823,76.3,73.7,2.6,20.0,3.7,3.3,0.4
0400000US06,06,California,8710000US0692124,0692124,"California - ZCTA5 92124, California","ZCTA5 92124, California",30443,84.9,83.4,1.5,15.0,0.1,0.0,0.1
0400000US06,06,California,8710000US0692126,0692126,"California - ZCTA5 92126, California","ZCTA5 92126, California",73343,81.6,78.4,3.3,13.6,4.7,0.4,4.4
0400000US06,06,California,8710000US0692127,0692127,"California - ZCTA5 92127, California","ZCTA5 92127, California",39337,90.6,89.3,1.3,8.3,1.1,1.0,0.1
0400000US06,06,California,8710000US0692128,0692128,"California - ZCTA5 92128, California","ZCTA5 92128, California",47490,81.9,80.9,1.0,17.6,0.5,0.5,0.0
0400000US06,06,California,8710000US0692129,0692129,"California - ZCTA5 92129, California","ZCTA5 92129, California",51536,92.1,90.3,1.8,7.9,0.1,0.0,0.1
0400000US06,06,California,8710000US0692130,0692130,"California - ZCTA5 92130, California","ZCTA5 92130, California",48940,88.6,87.5,1.1,11.4,0.0,0.0,0.0
0400000US06,06,California,8710000US0692131,0692131,"California - ZCTA5 92131, California","ZCTA5 92131, California",32787,90.7,89.4,1.2,9.2,0.2,0.0,0.2
0400000US06,06,California,8710000US0692132,0692132,"California - ZCTA5 92132, California","ZCTA5 92132, California",0,,,,,,,
0400000US06,06,California,8710000US0692134,0692134,"California - ZCTA5 92134, California","ZCTA5 92134, California",198,0.0,0.0,0.0,6.6,93.4,21.7,71.7
0400000US06,06,California,8710000US0692135,0692135,"California - ZCTA5 92135, California","ZCTA5 92135, California",571,0.0,0.0,0.0,0.0,100.0,0.0,100.0
0400000US06,06,California,8710000US0692139,0692139,"California - ZCTA5 92139, California","ZCTA5 92139, California",35125,92.1,88.9,3.2,7.0,1.0,0.5,0.5
0400000US06,06,California,8710000US0692140,0692140,"California - ZCTA5 92140, California","ZCTA5 92140, California",3435,0.6,0.6,0.0,0.0,99.4,0.0,99.4
0400000US06,06,California,8710000US0692145,0692145,"California - ZCTA5 92145, California","ZCTA5 92145, California",1449,97.3,95.1,2.2,2.7,0.0,0.0,0.0
0400000US06,06,California,8710000US0692147,0692147,"California - ZCTA5 92147, California","ZCTA5 92147, California",559,0.4,0.4,0.0,0.0,99.6,0.0,99.6
0400000US06,06,California,8710000US0692154,0692154,"California - ZCTA5 92154, California","ZCTA5 92154, California",79708,87.9,84.8,3.1,5.3,6.8,5.8,1.0
0400000US06,06,California,8710000US0692155,0692155,"California - ZCTA5 92155, California","ZCTA5 92155, California",550,0.0,0.0,0.0,0.0,100.0,0.0,100.0
0400000US06,06,California,8710000US0692173,0692173,"California - ZCTA5 92173, California","ZCTA5 92173, California",29429,95.3,92.0,3.3,4.6,0.2,0.0,0.1
0400000US06,06,California,8710000US0692201,0692201,"California - ZCTA5 92201, California","ZCTA5 92201, California",61827,90.0,86.5,3.5,8.3,1.7,0.9,0.7
0400000US06,06,California,8710000US0692203,0692203,"California - ZCTA5 92203, California","ZCTA5 92203, California",25605,86.9,84.3,2.7,13.0,0.1,0.0,0.1
0400000US06,06,California,8710000US0692210,0692210,"California - ZCTA5 92210, California","ZCTA5 92210, California",4677,74.0,73.5,0.5,25.9,0.1,0.0,0.1
0400000US06,06,California,8710000US0692211,0692211,"California - ZCTA5 92211, California","ZCTA5 92211, California",24294,76.0,74.8,1.3,23.7,0.2,0.2,0.0
0400000US06,06,California,8710000US0692220,0692220,"California - ZCTA5 92220, California","ZCTA5 92220, California",31638,80.9,77.7,3.2,14.7,4.4,3.6,0.8
0400000US06,06,California,8710000US0692222,0692222,"California - ZCTA5 92222, California","ZCTA5 92222, California",45,73.3,73.3,0.0,26.7,0.0,0.0,0.0
0400000US06,06,California,8710000US0692223,0692223,"California - ZCTA5 92223, California","ZCTA5 92223, California",43605,88.5,85.5,2.9,10.1,1.5,0.6,0.8
0400000US06,06,California,8710000US0692225,0692225,"California - ZCTA5 92225, California","ZCTA5 92225, California",24310,59.2,57.0,2.2,8.5,32.3,31.9,0.4
0400000US06,06,California,8710000US0692227,0692227,"California - ZCTA5 92227, California","ZCTA5 92227, California",26234,91.6,88.8,2.8,7.7,0.7,0.4,0.2
0400000US06,06,California,8710000US0692230,0692230,"California - ZCTA5 92230, California","ZCTA5 92230, California",2550,88.2,84.0,4.3,11.4,0.4,0.0,0.4
0400000US06,06,California,8710000US0692231,0692231,"California - ZCTA5 92231, California","ZCTA5 92231, California",39073,94.8,92.1,2.7,4.9,0.3,0.0,0.3
0400000US06,06,California,8710000US0692233,0692233,"California - ZCTA5 92233, California","ZCTA5 92233, California",8099,45.3,43.8,1.4,3.3,51.4,51.4,0.0
0400000US06,06,California,8710000US0692234,0692234,"California - ZCTA5 92234, California","ZCTA5 92234, California",51151,83.3,79.2,4.1,16.1,0.6,0.1,0.5
0400000US06,06,California,8710000US0692236,0692236,"California - ZCTA5 92236, California","ZCTA5 92236, California",41083,97.3,93.4,3.8,2.6,0.1,0.0,0.1
0400000US06,06,California,8710000US0692239,0692239,"California - ZCTA5 92239, California","ZCTA5 92239, California",223,77.6,74.9,2.7,22.0,0.4,0.0,0.4
0400000US06,06,California,8710000US0692240,0692240,"California - ZCTA5 92240, California","ZCTA5 92240, California",34722,85.0,80.8,4.2,14.4,0.6,0.0,0.5
0400000US06,06,California,8710000US0692241,0692241,"California - ZCTA5 92241, California","ZCTA5 92241, California",8803,76.7,74.1,2.6,23.2,0.1,0.0,0.1
0400000US06,06,California,8710000US0692242,0692242,"California - ZCTA5 92242, California","ZCTA5 92242, California",1539,72.3,69.9,2.3,27.7,0.0,0.0,0.0
0400000US06,06,California,8710000US0692243,0692243,"California - ZCTA5 92243, California","ZCTA5 92243, California",48030,88.6,86.0,2.6,8.0,3.4,2.4,1.0
0400000US06,06,California,8710000US0692249,0692249,"California - ZCTA5 92249, California","ZCTA5 92249, California",7334,97.1,95.3,1.9,2.9,0.0,0.0,0.0
0400000US06,06,California,8710000US0692250,0692250,"California - ZCTA5 92250, California","ZCTA5 92250, California",8285,91.3,89.3,2.0,8.6,0.2,0.0,0.2
0400000US06,06,California,8710000US0692251,0692251,"California - ZCTA5 92251, California","ZCTA5 92251, California",21583,73.5,71.8,1.7,5.5,21.0,21.0,0.0
0400000US06,06,California,8710000US0692252,0692252,"California - ZCTA5 92252, California","ZCTA5 92252, California",9647,75.0,71.5,3.5,23.1,1.8,1.3,0.6
0400000US06,06,California,8710000US0692253,0692253,"California - ZCTA5 92253, California","ZCTA5 92253, California",37262,85.9,83.9,2.0,14.0,0.2,0.0,0.1
0400000US06,06,California,8710000US0692254,0692254,"California - ZCTA5 92254, California","ZCTA5 92254, California",12768,96.5,93.5,3.1,3.5,0.0,0.0,0.0
0400000US06,06,California,8710000US0692256,0692256,"California - ZCTA5 92256, California","ZCTA5 92256, California",3588,73.9,70.8,3.1,26.0,0.1,0.0,0.1
0400000US06,06,California,8710000US0692257,0692257,"California - ZCTA5 92257, California","ZCTA5 92257, California",2326,75.8,73.1,2.7,24.2,0.0,0.0,0.0
0400000US06,06,California,8710000US0692258,0692258,"California - ZCTA5 92258, California","ZCTA5 92258, California",861,81.3,77.7,3.6,11.7,7.0,0.0,7.0
0400000US06,06,California,8710000US0692259,0692259,"California - ZCTA5 92259, California","ZCTA5 92259, California",390,68.2,64.1,4.1,31.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692260,0692260,"California - ZCTA5 92260, California","ZCTA5 92260, California",31753,73.2,71.0,2.2,26.0,0.8,0.5,0.3
0400000US06,06,California,8710000US0692262,0692262,"California - ZCTA5 92262, California","ZCTA5 92262, California",26179,61.2,58.6,2.6,37.4,1.4,0.4,1.0
0400000US06,06,California,8710000US0692264,0692264,"California - ZCTA5 92264, California","ZCTA5 92264, California",19383,52.4,50.8,1.7,47.0,0.6,0.4,0.2
0400000US06,06,California,8710000US0692266,0692266,"California - ZCTA5 92266, California","ZCTA5 92266, California",234,69.7,66.2,3.4,30.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0692267,0692267,"California - ZCTA5 92267, California","ZCTA5 92267, California",126,81.7,79.4,2.4,18.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0692268,0692268,"California - ZCTA5 92268, California","ZCTA5 92268, California",574,70.2,69.2,1.0,29.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692270,0692270,"California - ZCTA5 92270, California","ZCTA5 92270, California",17220,70.1,68.8,1.3,29.5,0.4,0.3,0.1
0400000US06,06,California,8710000US0692273,0692273,"California - ZCTA5 92273, California","ZCTA5 92273, California",1823,93.9,90.3,3.5,6.1,0.0,0.0,0.0
0400000US06,06,California,8710000US0692274,0692274,"California - ZCTA5 92274, California","ZCTA5 92274, California",19801,94.5,90.8,3.6,5.4,0.2,0.0,0.2
0400000US06,06,California,8710000US0692275,0692275,"California - ZCTA5 92275, California","ZCTA5 92275, California",1506,84.5,82.2,2.3,15.5,0.0,0.0,0.0
0400000US06,06,California,8710000US0692276,0692276,"California - ZCTA5 92276, California","ZCTA5 92276, California",7585,83.5,80.2,3.3,16.1,0.4,0.0,0.4
0400000US06,06,California,8710000US0692277,0692277,"California - ZCTA5 92277, California","ZCTA5 92277, California",23911,84.3,81.6,2.8,15.7,0.0,0.0,0.0
0400000US06,06,California,8710000US0692278,0692278,"California - ZCTA5 92278, California","ZCTA5 92278, California",3846,13.0,12.9,0.1,0.0,87.0,0.0,87.0
0400000US06,06,California,8710000US0692280,0692280,"California - ZCTA5 92280, California","ZCTA5 92280, California",14,42.9,42.9,0.0,57.1,0.0,0.0,0.0
0400000US06,06,California,8710000US0692281,0692281,"California - ZCTA5 92281, California","ZCTA5 92281, California",2432,95.4,92.0,3.4,4.6,0.0,0.0,0.0
0400000US06,06,California,8710000US0692282,0692282,"California - ZCTA5 92282, California","ZCTA5 92282, California",1239,79.0,73.7,5.3,21.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692283,0692283,"California - ZCTA5 92283, California","ZCTA5 92283, California",3158,84.8,81.4,3.4,13.6,1.6,0.0,1.6
0400000US06,06,California,8710000US0692284,0692284,"California - ZCTA5 92284, California","ZCTA5 92284, California",25095,80.7,77.2,3.5,18.4,0.9,0.2,0.7
0400000US06,06,California,8710000US0692285,0692285,"California - ZCTA5 92285, California","ZCTA5 92285, California",2632,71.8,68.8,3.1,28.2,0.0,0.0,0.0
0400000US06,06,California,8710000US0692301,0692301,"California - ZCTA5 92301, California","ZCTA5 92301, California",32725,88.9,84.9,4.0,5.7,5.4,5.3,0.1
0400000US06,06,California,8710000US0692304,0692304,"California - ZCTA5 92304, California","ZCTA5 92304, California",17,47.1,41.2,5.9,23.5,29.4,0.0,29.4
0400000US06,06,California,8710000US0692305,0692305,"California - ZCTA5 92305, California","ZCTA5 92305, California",535,80.2,77.9,2.2,19.6,0.2,0.0,0.2
0400000US06,06,California,8710000US0692307,0692307,"California - ZCTA5 92307, California","ZCTA5 92307, California",37630,89.0,85.4,3.6,10.3,0.7,0.4,0.3
0400000US06,06,California,8710000US0692308,0692308,"California - ZCTA5 92308, California","ZCTA5 92308, California",39837,87.7,84.1,3.5,11.8,0.5,0.4,0.1
0400000US06,06,California,8710000US0692309,0692309,"California - ZCTA5 92309, California","ZCTA5 92309, California",763,88.9,84.5,4.3,10.6,0.5,0.0,0.5
0400000US06,06,California,8710000US0692310,0692310,"California - ZCTA5 92310, California","ZCTA5 92310, California",8845,81.1,80.6,0.5,3.7,15.1,0.0,15.1
0400000US06,06,California,8710000US0692311,0692311,"California - ZCTA5 92311, California","ZCTA5 92311, California",31894,85.0,81.1,3.8,13.7,1.3,0.7,0.6
0400000US06,06,California,8710000US0692313,0692313,"California - ZCTA5 92313, California","ZCTA5 92313, California",12025,84.6,81.5,3.1,14.5,0.9,0.5,0.4
0400000US06,06,California,8710000US0692314,0692314,"California - ZCTA5 92314, California","ZCTA5 92314, California",10162,82.9,80.1,2.8,16.9,0.2,0.0,0.2
0400000US06,06,California,8710000US0692315,0692315,"California - ZCTA5 92315, California","ZCTA5 92315, California",5094,77.3,74.5,2.8,22.2,0.5,0.4,0.1
0400000US06,06,California,8710000US0692316,0692316,"California - ZCTA5 92316, California","ZCTA5 92316, California",30830,94.7,89.5,5.2,4.5,0.7,0.1,0.6
0400000US06,06,California,8710000US0692320,0692320,"California - ZCTA5 92320, California","ZCTA5 92320, California",7788,81.0,78.3,2.6,18.4,0.7,0.1,0.5
0400000US06,06,California,8710000US0692321,0692321,"California - ZCTA5 92321, California","ZCTA5 92321, California",1522,83.6,80.6,3.0,15.2,1.2,1.2,0.0
0400000US06,06,California,8710000US0692322,0692322,"California - ZCTA5 92322, California","ZCTA5 92322, California",1257,81.1,77.5,3.7,18.9,0.0,0.0,0.0
0400000US06,06,California,8710000US0692324,0692324,"California - ZCTA5 92324, California","ZCTA5 92324, California",56505,91.2,87.0,4.2,8.3,0.6,0.4,0.2
0400000US06,06,California,8710000US0692325,0692325,"California - ZCTA5 92325, California","ZCTA5 92325, California",9391,80.9,77.6,3.3,18.6,0.5,0.1,0.4
0400000US06,06,California,8710000US0692327,0692327,"California - ZCTA5 92327, California","ZCTA5 92327, California",632,77.8,74.7,3.2,22.2,0.0,0.0,0.0
0400000US06,06,California,8710000US0692328,0692328,"California - ZCTA5 92328, California","ZCTA5 92328, California",445,42.5,41.6,0.9,53.7,3.8,0.0,3.8
0400000US06,06,California,8710000US0692332,0692332,"California - ZCTA5 92332, California","ZCTA5 92332, California",65,49.2,49.2,0.0,50.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692333,0692333,"California - ZCTA5 92333, California","ZCTA5 92333, California",472,75.2,74.4,0.8,24.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692335,0692335,"California - ZCTA5 92335, California","ZCTA5 92335, California",95397,94.1,88.3,5.8,5.6,0.3,0.1,0.2
0400000US06,06,California,8710000US0692336,0692336,"California - ZCTA5 92336, California","ZCTA5 92336, California",88419,95.7,92.1,3.6,4.1,0.2,0.1,0.1
0400000US06,06,California,8710000US0692337,0692337,"California - ZCTA5 92337, California","ZCTA5 92337, California",37849,95.5,91.6,3.9,4.4,0.1,0.0,0.1
0400000US06,06,California,8710000US0692338,0692338,"California - ZCTA5 92338, California","ZCTA5 92338, California",12,58.3,58.3,0.0,41.7,0.0,0.0,0.0
0400000US06,06,California,8710000US0692339,0692339,"California - ZCTA5 92339, California","ZCTA5 92339, California",885,78.2,75.9,2.3,21.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692341,0692341,"California - ZCTA5 92341, California","ZCTA5 92341, California",410,80.0,76.1,3.9,20.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692342,0692342,"California - ZCTA5 92342, California","ZCTA5 92342, California",6379,86.0,84.1,2.0,12.6,1.4,0.2,1.2
0400000US06,06,California,8710000US0692344,0692344,"California - ZCTA5 92344, California","ZCTA5 92344, California",20769,94.4,91.0,3.4,5.6,0.0,0.0,0.0
0400000US06,06,California,8710000US0692345,0692345,"California - ZCTA5 92345, California","ZCTA5 92345, California",78715,91.6,87.6,4.0,8.4,0.0,0.0,0.0
0400000US06,06,California,8710000US0692346,0692346,"California - ZCTA5 92346, California","ZCTA5 92346, California",54923,87.8,84.5,3.3,8.8,3.3,3.1,0.2
0400000US06,06,California,8710000US0692347,0692347,"California - ZCTA5 92347, California","ZCTA5 92347, California",1692,84.9,81.1,3.8,15.1,0.0,0.0,0.0
0400000US06,06,California,8710000US0692352,0692352,"California - ZCTA5 92352, California","ZCTA5 92352, California",8004,87.9,85.8,2.1,12.1,0.0,0.0,0.0
0400000US06,06,California,8710000US0692354,0692354,"California - ZCTA5 92354, California","ZCTA5 92354, California",21559,78.1,75.6,2.4,17.9,4.0,1.5,2.6
0400000US06,06,California,8710000US0692356,0692356,"California - ZCTA5 92356, California","ZCTA5 92356, California",6455,80.9,76.9,3.9,18.5,0.7,0.0,0.7
0400000US06,06,California,8710000US0692358,0692358,"California - ZCTA5 92358, California","ZCTA5 92358, California",707,75.5,74.3,1.3,24.5,0.0,0.0,0.0
0400000US06,06,California,8710000US0692359,0692359,"California - ZCTA5 92359, California","ZCTA5 92359, California",8103,85.6,81.6,4.0,13.0,1.4,0.7,0.7
0400000US06,06,California,8710000US0692363,0692363,"California - ZCTA5 92363, California","ZCTA5 92363, California",5321,81.1,76.8,4.3,18.8,0.1,0.0,0.1
0400000US06,06,California,8710000US0692364,0692364,"California - ZCTA5 92364, California","ZCTA5 92364, California",90,73.3,73.3,0.0,26.7,0.0,0.0,0.0
0400000US06,06,California,8710000US0692365,0692365,"California - ZCTA5 92365, California","ZCTA5 92365, California",2637,80.4,77.1,3.3,17.4,2.2,0.0,2.2
0400000US06,06,California,8710000US0692368,0692368,"California - ZCTA5 92368, California","ZCTA5 92368, California",1113,88.1,84.2,3.9,11.9,0.0,0.0,0.0
0400000US06,06,California,8710000US0692371,0692371,"California - ZCTA5 92371, California","ZCTA5 92371, California",16763,90.5,86.8,3.8,9.2,0.3,0.0,0.3
0400000US06,06,California,8710000US0692372,0692372,"California - ZCTA5 92372, California","ZCTA5 92372, California",6220,88.7,86.4,2.4,11.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0692373,0692373,"California - ZCTA5 92373, California","ZCTA5 92373, California",33423,79.4,77.4,2.0,18.7,1.9,1.2,0.6
0400000US06,06,California,8710000US0692374,0692374,"California - ZCTA5 92374, California","ZCTA5 92374, California",40267,83.9,81.1,2.8,11.7,4.4,0.3,4.2
0400000US06,06,California,8710000US0692376,0692376,"California - ZCTA5 92376, California","ZCTA5 92376, California",81516,93.8,89.0,4.7,5.7,0.5,0.2,0.3
0400000US06,06,California,8710000US0692377,0692377,"California - ZCTA5 92377, California","ZCTA5 92377, California",19989,94.8,91.2,3.6,5.0,0.2,0.1,0.1
0400000US06,06,California,8710000US0692378,0692378,"California - ZCTA5 92378, California","ZCTA5 92378, California",183,90.2,86.3,3.8,9.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692382,0692382,"California - ZCTA5 92382, California","ZCTA5 92382, California",5268,82.7,80.1,2.6,17.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0692384,0692384,"California - ZCTA5 92384, California","ZCTA5 92384, California",36,47.2,47.2,0.0,52.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0692385,0692385,"California - ZCTA5 92385, California","ZCTA5 92385, California",313,79.9,77.3,2.6,20.1,0.0,0.0,0.0
0400000US06,06,California,8710000US0692386,0692386,"California - ZCTA5 92386, California","ZCTA5 92386, California",2270,79.0,75.2,3.8,21.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692389,0692389,"California - ZCTA5 92389, California","ZCTA5 92389, California",156,56.4,53.8,2.6,43.6,0.0,0.0,0.0
0400000US06,06,California,8710000US0692391,0692391,"California - ZCTA5 92391, California","ZCTA5 92391, California",2534,85.2,82.4,2.8,14.1,0.6,0.0,0.6
0400000US06,06,California,8710000US0692392,0692392,"California - ZCTA5 92392, California","ZCTA5 92392, California",54858,93.2,89.5,3.7,6.6,0.2,0.0,0.2
0400000US06,06,California,8710000US0692394,0692394,"California - ZCTA5 92394, California","ZCTA5 92394, California",33237,81.1,78.1,3.0,5.3,13.6,13.4,0.2
0400000US06,06,California,8710000US0692395,0692395,"California - ZCTA5 92395, California","ZCTA5 92395, California",42400,87.3,83.4,3.9,11.5,1.2,0.7,0.5
0400000US06,06,California,8710000US0692397,0692397,"California - ZCTA5 92397, California","ZCTA5 92397, California",4894,84.0,81.9,2.1,16.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0692398,0692398,"California - ZCTA5 92398, California","ZCTA5 92398, California",1379,86.7,83.3,3.3,13.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0692399,0692399,"California - ZCTA5 92399, California","ZCTA5 92399, California",52606,86.5,83.8,2.8,12.1,1.3,0.9,0.4
0400000US06,06,California,8710000US0692401,0692401,"California - ZCTA5 92401, California","ZCTA5 92401, California",1932,78.2,72.0,6.1,17.4,4.4,0.0,4.4
