,,,,,,,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD020102,SUBHD020201,SUBHD020202,SUBHD020203
,,,,,,,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population
,,,,,,,,In households,In households,In households,In households,In group quarters,In group quarters,In group quarters
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,,Family households,Family households,Family households,Nonfamily households [3],Total,Institutionalized population,Noninstitutionalized population
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,In families [1],Nonrelatives [2],,,,
0400000US06,06,California,8710000US0690032,0690032,"California - ZCTA5 90032, California","ZCTA5 90032, California",45786,89.5,85.3,4.2,8.7,1.7,0.0,1.7
0400000US06,06,California,8710000US0690033,0690033,"California - ZCTA5 90033, California","ZCTA5 90033, California",48852,88.4,83.2,5.2,8.3,3.3,2.6,0.6
0400000US06,06,California,8710000US0690034,0690034,"California - ZCTA5 90034, California","ZCTA5 90034, California",57964,65.0,62.4,2.5,33.6,1.5,0.3,1.2
0400000US06,06,California,8710000US0690035,0690035,"California - ZCTA5 90035, California","ZCTA5 90035, California",28418,67.7,66.4,1.3,31.2,1.1,0.8,0.3
0400000US06,06,California,8710000US0690036,0690036,"California - ZCTA5 90036, California","ZCTA5 90036, California",36865,56.5,55.4,1.1,42.7,0.8,0.4,0.4
0400000US06,06,California,8710000US0690037,0690037,"California - ZCTA5 90037, California","ZCTA5 90037, California",62276,89.4,82.1,7.3,8.7,1.9,0.2,1.7
0400000US06,06,California,8710000US0690038,0690038,"California - ZCTA5 90038, California","ZCTA5 90038, California",28917,69.4,65.7,3.7,29.8,0.8,0.0,0.8
0400000US06,06,California,8710000US0690039,0690039,"California - ZCTA5 90039, California","ZCTA5 90039, California",28514,72.9,69.9,3.0,26.1,1.0,0.7,0.3
0400000US06,06,California,8710000US0690040,0690040,"California - ZCTA5 90040, California","ZCTA5 90040, California",12520,92.7,88.2,4.6,6.7,0.6,0.5,0.0
0400000US06,06,California,8710000US0690041,0690041,"California - ZCTA5 90041, California","ZCTA5 90041, California",27425,77.3,74.3,3.0,16.8,5.9,0.6,5.2
0400000US06,06,California,8710000US0690042,0690042,"California - ZCTA5 90042, California","ZCTA5 90042, California",62430,84.9,80.7,4.2,14.1,1.0,0.4,0.6
0400000US06,06,California,8710000US0690043,0690043,"California - ZCTA5 90043, California","ZCTA5 90043, California",44789,84.6,80.6,4.0,14.5,0.9,0.4,0.5
0400000US06,06,California,8710000US0690044,0690044,"California - ZCTA5 90044, California","ZCTA5 90044, California",89779,90.3,84.6,5.7,9.2,0.5,0.1,0.4
0400000US06,06,California,8710000US0690045,0690045,"California - ZCTA5 90045, California","ZCTA5 90045, California",39480,69.0,67.2,1.8,22.5,8.5,0.0,8.5
0400000US06,06,California,8710000US0690046,0690046,"California - ZCTA5 90046, California","ZCTA5 90046, California",48581,41.8,40.4,1.4,57.2,0.9,0.2,0.7
0400000US06,06,California,8710000US0690047,0690047,"California - ZCTA5 90047, California","ZCTA5 90047, California",48606,87.9,83.6,4.3,11.6,0.5,0.1,0.4
0400000US06,06,California,8710000US0690048,0690048,"California - ZCTA5 90048, California","ZCTA5 90048, California",21397,49.2,48.0,1.2,48.4,2.5,2.0,0.5
0400000US06,06,California,8710000US0690049,0690049,"California - ZCTA5 90049, California","ZCTA5 90049, California",35482,67.1,65.7,1.5,30.9,2.0,0.0,2.0
0400000US06,06,California,8710000US0690056,0690056,"California - ZCTA5 90056, California","ZCTA5 90056, California",7827,81.4,79.2,2.2,18.4,0.2,0.1,0.1
0400000US06,06,California,8710000US0690057,0690057,"California - ZCTA5 90057, California","ZCTA5 90057, California",44998,77.5,71.5,6.0,20.3,2.2,1.7,0.5
0400000US06,06,California,8710000US0690058,0690058,"California - ZCTA5 90058, California","ZCTA5 90058, California",3223,90.5,85.4,5.1,9.2,0.2,0.0,0.2
0400000US06,06,California,8710000US0690059,0690059,"California - ZCTA5 90059, California","ZCTA5 90059, California",40952,92.8,86.7,6.1,5.3,1.9,0.5,1.4
0400000US06,06,California,8710000US0690061,0690061,"California - ZCTA5 90061, California","ZCTA5 90061, California",26872,91.5,85.1,6.4,7.1,1.4,0.9,0.4
0400000US06,06,California,8710000US0690062,0690062,"California - ZCTA5 90062, California","ZCTA5 90062, California",32821,89.8,83.3,6.4,9.3,0.9,0.1,0.8
0400000US06,06,California,8710000US0690063,0690063,"California - ZCTA5 90063, California","ZCTA5 90063, California",55758,94.1,88.2,5.9,5.5,0.3,0.0,0.3
0400000US06,06,California,8710000US0690064,0690064,"California - ZCTA5 90064, California","ZCTA5 90064, California",25403,72.6,70.9,1.6,26.5,1.0,0.6,0.4
0400000US06,06,California,8710000US0690065,0690065,"California - ZCTA5 90065, California","ZCTA5 90065, California",45527,85.4,81.4,4.0,13.8,0.8,0.2,0.6
0400000US06,06,California,8710000US0690066,0690066,"California - ZCTA5 90066, California","ZCTA5 90066, California",55277,71.2,68.8,2.4,28.0,0.8,0.5,0.3
0400000US06,06,California,8710000US0690067,0690067,"California - ZCTA5 90067, California","ZCTA5 90067, California",2424,58.7,57.8,0.9,41.3,0.0,0.0,0.0
0400000US06,06,California,8710000US0690068,0690068,"California - ZCTA5 90068, California","ZCTA5 90068, California",22286,48.3,46.3,2.0,51.3,0.4,0.1,0.4
0400000US06,06,California,8710000US0690069,0690069,"California - ZCTA5 90069, California","ZCTA5 90069, California",20483,31.5,30.4,1.1,68.5,0.0,0.0,0.0
