,,,,,,,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Population,Housing units,Area in square miles,Area in square miles,Area in square miles,Density per square mile of land area,Density per square mile of land area
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,,Total area,Water area,Land area,Population,Housing units
0400000US06,06,California,8710000US0691723,0691723,"California - ZCTA5 91723, California","ZCTA5 91723, California",18275,6672,2.33,0.01,2.32,7876.9,2875.8
0400000US06,06,California,8710000US0691724,0691724,"California - ZCTA5 91724, California","ZCTA5 91724, California",26184,8771,6.24,0.00,6.23,4200.1,1406.9
0400000US06,06,California,8710000US0691730,0691730,"California - ZCTA5 91730, California","ZCTA5 91730, California",66925,24024,14.49,0.01,14.47,4623.8,1659.8
0400000US06,06,California,8710000US0691731,0691731,"California - ZCTA5 91731, California","ZCTA5 91731, California",29591,8381,3.88,0.07,3.81,7758.3,2197.4
0400000US06,06,California,8710000US0691732,0691732,"California - ZCTA5 91732, California","ZCTA5 91732, California",61386,15347,4.71,0.09,4.62,13300.6,3325.3
0400000US06,06,California,8710000US0691733,0691733,"California - ZCTA5 91733, California","ZCTA5 91733, California",43896,10297,6.99,0.31,6.68,6570.3,1541.2
0400000US06,06,California,8710000US0691737,0691737,"California - ZCTA5 91737, California","ZCTA5 91737, California",24740,8399,8.38,0.00,8.38,2953.3,1002.6
0400000US06,06,California,8710000US0691739,0691739,"California - ZCTA5 91739, California","ZCTA5 91739, California",34794,10890,29.40,0.01,29.39,1183.9,370.5
0400000US06,06,California,8710000US0691740,0691740,"California - ZCTA5 91740, California","ZCTA5 91740, California",25356,8724,4.99,0.02,4.98,5093.7,1752.6
0400000US06,06,California,8710000US0691741,0691741,"California - ZCTA5 91741, California","ZCTA5 91741, California",25824,9433,14.97,0.15,14.82,1742.8,636.6
