what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337410131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337413356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337413518
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337418635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337427684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337428419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337445279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337448807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337461895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317337461953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317337461953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337467142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337467280
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317337472548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337474199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337476423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317337520578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337524597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337526298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337527847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337528577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337529223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337529682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337530775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337568603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337572041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337580786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337592594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337610653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317337614448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317337624317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317337626509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337630439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337632701
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317337646642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337656259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337675949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317337675994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317337675994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337681752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337681901
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317337683237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337686423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337693633
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317337703222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337711936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337712029
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317337715706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317337720016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337722626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337724802
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317337727295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337730911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337731061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337732716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337736345
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317337737035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337739067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337761908
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317337768298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337784151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337786113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1317337786162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337799747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337802323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1317337802378
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317337810925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337841045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337941460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317337942187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317337949251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338079419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317338082031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338082684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338087102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338093914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338111499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338112836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338115278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338124998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338127004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338129097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338132985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338153244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338155305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338173099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338174436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338176165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338205332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317338215929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317338218808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338223644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338225905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338265397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338268824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338322012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1317338357503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1317338357981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1317338358454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338364079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338366787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338384451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338388024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338392128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338395595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338399452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338400986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338402091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338402983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338403575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338404471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338404842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338406764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338413123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317338424460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317338431367
