what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335138123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335163687
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317335166410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335169770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335224086
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317335224118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335225966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335226761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317335265002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317335266374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317335299948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317335309610
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1317335314551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335315386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335323827
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317335336726
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317335359604
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317335365264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317335370452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317335396038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335403420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335404137
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1317335408376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335408660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317335413220
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317335414917
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317335423737
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317335423762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317335427339
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317335429917
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317335429917
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317335431057
